comparison,c.meas,pname,shifts not significant,significant anti-parallel shifts,significant parallel shifts
1,1,nonpar.npaired,1,0,9
1,1,nonpar.paired,1,0,9
1,1,par.npaired,1,0,9
1,1,par.paired,1,0,9
1,2,nonpar.npaired,4,2,4
1,2,nonpar.paired,5,1,4
1,2,par.npaired,3,2,5
1,2,par.paired,3,2,5
1,3,nonpar.npaired,4,4,2
1,3,nonpar.paired,4,4,2
1,3,par.npaired,3,5,2
1,3,par.paired,3,5,2
1,4,nonpar.npaired,3,1,6
1,4,nonpar.paired,3,1,6
1,4,par.npaired,3,1,6
1,4,par.paired,3,1,6
1,5,nonpar.npaired,1,0,9
1,5,nonpar.paired,0,0,10
1,5,par.npaired,0,0,10
1,5,par.paired,0,0,10
2,1,nonpar.npaired,2,1,7
2,1,nonpar.paired,5,1,4
2,1,par.npaired,5,1,4
2,1,par.paired,5,1,4
2,2,nonpar.npaired,1,0,9
2,2,nonpar.paired,1,0,9
2,2,par.npaired,1,0,9
2,2,par.paired,1,0,9
2,3,nonpar.npaired,2,4,4
2,3,nonpar.paired,2,4,4
2,3,par.npaired,3,4,3
2,3,par.paired,3,4,3
2,4,nonpar.npaired,2,5,3
2,4,nonpar.paired,2,5,3
2,4,par.npaired,3,4,3
2,4,par.paired,3,4,3
2,5,nonpar.npaired,1,0,9
2,5,nonpar.paired,2,0,8
2,5,par.npaired,2,0,8
2,5,par.paired,2,0,8
3,1,nonpar.npaired,0,4,6
3,1,nonpar.paired,0,4,6
3,1,par.npaired,1,3,6
3,1,par.paired,1,3,6
3,2,nonpar.npaired,0,9,1
3,2,nonpar.paired,0,9,1
3,2,par.npaired,0,9,1
3,2,par.paired,0,9,1
3,3,nonpar.npaired,0,0,10
3,3,nonpar.paired,0,0,10
3,3,par.npaired,0,0,10
3,3,par.paired,0,0,10
3,4,nonpar.npaired,1,6,3
3,4,nonpar.paired,2,5,3
3,4,par.npaired,1,6,3
3,4,par.paired,1,6,3
3,5,nonpar.npaired,2,4,4
3,5,nonpar.paired,2,4,4
3,5,par.npaired,2,4,4
3,5,par.paired,2,4,4
4,1,nonpar.npaired,3,5,2
4,1,nonpar.paired,3,4,3
4,1,par.npaired,3,4,3
4,1,par.paired,3,4,3
4,2,nonpar.npaired,2,4,4
4,2,nonpar.paired,2,4,4
4,2,par.npaired,1,4,5
4,2,par.paired,1,4,5
4,3,nonpar.npaired,4,4,2
4,3,nonpar.paired,3,5,2
4,3,par.npaired,4,4,2
4,3,par.paired,4,4,2
4,4,nonpar.npaired,5,2,3
4,4,nonpar.paired,5,2,3
4,4,par.npaired,5,2,3
4,4,par.paired,5,2,3
4,5,nonpar.npaired,4,4,2
4,5,nonpar.paired,5,2,3
4,5,par.npaired,5,3,2
4,5,par.paired,5,3,2
5,1,nonpar.npaired,1,0,9
5,1,nonpar.paired,1,0,9
5,1,par.npaired,1,0,9
5,1,par.paired,1,0,9
5,2,nonpar.npaired,0,0,10
5,2,nonpar.paired,0,0,10
5,2,par.npaired,0,0,10
5,2,par.paired,0,0,10
5,3,nonpar.npaired,4,0,6
5,3,nonpar.paired,4,0,6
5,3,par.npaired,4,0,6
5,3,par.paired,4,0,6
5,4,nonpar.npaired,1,2,7
5,4,nonpar.paired,2,2,6
5,4,par.npaired,3,1,6
5,4,par.paired,3,1,6
5,5,nonpar.npaired,0,0,10
5,5,nonpar.paired,0,0,10
5,5,par.npaired,0,0,10
5,5,par.paired,0,0,10
