,E10_Female_1,E10_Female_2,E10_Female_3,E10_Female_4,E10_Female_5,E1_Female_1,E1_Female_2,E1_Female_3,E1_Female_4,E1_Female_5,E2_Female_1,E2_Female_2,E2_Female_3,E2_Female_4,E2_Female_5,E3_Female_1,E3_Female_2,E3_Female_3,E3_Female_4,E3_Female_5,E4_Female_1,E4_Female_2,E4_Female_3,E4_Female_4,E4_Female_5,E5_Female_1,E5_Female_2,E5_Female_3,E5_Female_4,E5_Female_5,E6_Female_1,E6_Female_2,E6_Female_3,E6_Female_4,E6_Female_5,E7_Female_1,E7_Female_2,E7_Female_3,E7_Female_4,E7_Female_5,E8_Female_1,E8_Female_2,E8_Female_3,E8_Female_4,E8_Female_5,E9_Female_1,E9_Female_2,E9_Female_3,E9_Female_4,E9_Female_5,Female-2014_S5_.dedup.ss1.08384,Female-2014_S6_.dedup.ss1.08776,Female-2014_S7_.dedup.ss1.1992,Female-2014_S8_.dedup.ss1.1019
E10_Female_1,0,0.00149893376869925,0.00181242001799259,0.00489249949241025,0.00350567355573185,0.00193268205780397,0.00153529834055574,0.00205085961627467,0.00537680636437646,0.00258165645250758,0.00192026590268919,0.0030380049941883,0.00160724516876796,0.00251880059530043,0.00543538839763101,0.00214932731460167,0.00214013817917206,0.0027622600371133,0.00195300407669681,0.00228440283648237,0.00198557482981784,0.0023097763365865,0.00193758493356858,0.00234467751218759,0.00305301574476469,0.00203559861263741,0.00164467541057516,0.00184047738705995,0.00228323531677221,0.00391992999447354,0.00184075345217786,0.00197424074733754,0.00272678351549596,0.00224508414600869,0.00227556107524814,0.00148516921270841,0.00249052339230578,0.00178558575248364,0.00566520693581163,0.00320357216305072,0.0018981053023704,0.00257035390117388,0.00213906592013194,0.00564987095926593,0.00204184899175011,0.00203351354545426,0.00178480580952253,0.00217977349371985,0.0048544989778101,0.00271099938360856,0.00208395017023287,0.0018690176156873,0.00199165409260949,0.00174407442941685
E10_Female_2,0.00149893376869925,0,0.0015291674343188,0.00430917619053352,0.00388865533382376,0.00153657850406777,0.00142033558504165,0.00192037067408663,0.00581685212687189,0.00244974651559416,0.00211227568246607,0.00296754661955861,0.00157316726975704,0.00214954346098117,0.00518723202685823,0.00159755029067012,0.00190972474949784,0.00202548741220278,0.00147179628286361,0.0018427877654816,0.0017578930017538,0.00231669104505687,0.00200221800671257,0.00199734384888697,0.00275674570556934,0.00175174185252987,0.00138059161969527,0.00173071626505565,0.00191338827783033,0.00267300184908942,0.00149799409166602,0.00157487311583675,0.00213539160971337,0.00177312953702539,0.0021207527983717,0.00143774801859084,0.00239685905541459,0.00161473154321548,0.00454288747384653,0.00336921745737587,0.00178487233835627,0.00203261487977221,0.00176070861502187,0.00582119923823843,0.00163910496802947,0.00175336017007617,0.00163983525917101,0.00175187316855136,0.00432603146121899,0.00226061607320785,0.00189243441969322,0.00203632768628709,0.00214086855451528,0.00214002622325608
E10_Female_3,0.00181242001799259,0.0015291674343188,0,0.00467227428699733,0.0037692314424493,0.00181624887713467,0.00192206726068308,0.00228299196759908,0.00531491191452187,0.00268426829696168,0.00245774633333141,0.00318805872068487,0.00173789935131072,0.00209206500257158,0.00564259434739216,0.00225348930376606,0.00244499666806272,0.00198271946394997,0.00189629901579234,0.00242854111477312,0.00214353175322994,0.00269958683278456,0.00227188268579271,0.0021284840275981,0.00301309584747751,0.00214890315255414,0.00205581733633055,0.00193039925859156,0.00212808692264085,0.00319751966876847,0.00201690484223076,0.00214136660699914,0.0023536197178382,0.00223350435628277,0.0024520585076752,0.00209305846970524,0.00218797198950755,0.00167264510192241,0.00472514142579112,0.0036978201597198,0.00245937901229353,0.0023575740875543,0.00195718519839967,0.00581719112189627,0.00220005494000154,0.00203262953751999,0.00207736826347569,0.00238288335954822,0.00459993531920042,0.00273085702729118,0.00216399721376651,0.00233428754295838,0.0023254013508687,0.00258786153470256
E10_Female_4,0.00489249949241025,0.00430917619053352,0.00467227428699733,0,0.00613794422718211,0.0043108538118212,0.00405468752631003,0.00441528043434101,0.00791692585853293,0.00536088227842127,0.00428738539859729,0.00531343552617809,0.00414609405041454,0.00450298938716667,0.00690919810453442,0.00444201481314844,0.00450897589040085,0.00453220849977324,0.00440489991261,0.00469407235051439,0.00485728452378063,0.00541092995749381,0.00535852586102933,0.00548073217913483,0.00541970100489596,0.00493071867247508,0.00427732251974857,0.00469842848032866,0.00483512705341404,0.00448544342163266,0.0044988972599268,0.00441994034773037,0.00539446792768986,0.00498930486788194,0.00490704348735759,0.00470013182687157,0.00494964225721426,0.00453908529189916,0.00809893091169846,0.00595867757028193,0.00453808629831302,0.00518317744879075,0.00446940148658378,0.00912702149838877,0.00461757281070225,0.00434163997040635,0.00443133497292075,0.00425411691562061,0.00663475646758429,0.00459182652551975,0.00543129698295409,0.00522180208761931,0.00542125965828593,0.00527511610736034
E10_Female_5,0.00350567355573185,0.00388865533382376,0.0037692314424493,0.00613794422718211,0,0.00435559975810773,0.00408413340435466,0.00440663250003853,0.00645055199403503,0.00522201088737868,0.00435745963677074,0.00483833858230648,0.00406790875125931,0.00457632787398386,0.0075533860795599,0.00428622287729691,0.00423291376437669,0.00472888947362601,0.00420863818584011,0.00434608515023329,0.00483535642722588,0.00511760038914118,0.00461644794074441,0.0046989506763029,0.00594204084878841,0.00464085041916829,0.00409116286051439,0.00463880547078241,0.00427489449808121,0.00528966256403574,0.00465660917604368,0.00436895617523812,0.00525578788292432,0.00459244508145896,0.00474967487349126,0.00386285848219823,0.00433278571233049,0.00409839083897985,0.00754897198179052,0.00524623345179917,0.00451314680629434,0.00485854736908189,0.00352123904546469,0.00729503725268037,0.00398493464019047,0.00443077149883186,0.00417520816760878,0.00469484655878769,0.00691244564360748,0.00440666311846683,0.00474222804437102,0.00535828284199557,0.00526056038570018,0.00471829059340919
E1_Female_1,0.00193268205780397,0.00153657850406777,0.00181624887713467,0.0043108538118212,0.00435559975810773,0,0.0014076878895533,0.00162545519186151,0.00505307762574431,0.00247493149468255,0.00171193691102448,0.00249107956894217,0.00166322062418862,0.00175019264081706,0.00506814949784281,0.00122965102502789,0.00168478242550181,0.00193626355568638,0.00147329077870355,0.0020927687617514,0.00142961707884015,0.00207192874140722,0.00184841568393582,0.00197958168019433,0.00251915258813387,0.00156982727156619,0.00167171026683585,0.00178445550960385,0.00178081223031325,0.00284002496692544,0.00140120032385328,0.00153725568674115,0.00210415556415827,0.00184120598233386,0.00225219967386811,0.00174285259518199,0.00181326227113823,0.00167165337106084,0.00436399825390601,0.00387147888867429,0.00149690721596458,0.00227805461523282,0.00189165731214059,0.00612062628250373,0.00200517106414682,0.00159830810982245,0.00162664797767528,0.00192328798768377,0.00457091797057051,0.00284763604839619,0.00219612517263313,0.00205541445826736,0.00198356868589786,0.00239256755552227
E1_Female_2,0.00153529834055574,0.00142033558504165,0.00192206726068308,0.00405468752631003,0.00408413340435466,0.0014076878895533,0,0.0014093657847554,0.00544419279094924,0.00223752636489382,0.00168312576039472,0.00232083627536614,0.00151600116690032,0.00194214019049758,0.00447566280539072,0.00137738932731723,0.00154091923542971,0.00207239463464152,0.00137186581643492,0.0019632758167755,0.0015563326613121,0.00197937434220676,0.00160614117485263,0.00213499913010807,0.00225865874568491,0.00143621478744731,0.00125020489829438,0.00160115834268829,0.00196969279653716,0.00296639303583206,0.00125411096363039,0.00134992927064686,0.00204854064074038,0.00166300535165154,0.00190021051375743,0.00176090770631538,0.00213486668828254,0.00144592400581679,0.00492613379352147,0.00346841043689715,0.00141462781255242,0.00223721452225912,0.00200746374519593,0.0059073568467003,0.00191089780517033,0.0017265819538388,0.00141147502801187,0.00175801661031316,0.00451611364866587,0.00231169067212401,0.0021599812537406,0.00207581892812972,0.0020529700552456,0.00187717723657395
E1_Female_3,0.00205085961627467,0.00192037067408663,0.00228299196759908,0.00441528043434101,0.00440663250003853,0.00162545519186151,0.0014093657847554,0,0.00566815279552174,0.00273324660857304,0.001729795069445,0.00287428836837392,0.00177375465747683,0.00209431446311288,0.00501502933005079,0.00190547945288838,0.00208347383721648,0.00230541939505483,0.00161773582016746,0.00230169267967884,0.00159561281902365,0.00196738243156138,0.0020520565409314,0.0023307298210765,0.00266473307459807,0.00160309824946459,0.0017704178353501,0.00198874265307214,0.00244833122110709,0.00334250417656831,0.00189625511231962,0.00168278562487257,0.00233022334958966,0.00207694474674151,0.00222411244025545,0.0021923718323771,0.00228721067680886,0.00199698720081555,0.00505065622118771,0.00381559502376804,0.00206298589432334,0.00290765261516783,0.00228719458035022,0.00657505136029819,0.0022073672072248,0.00190201748569886,0.00149072785653428,0.0021388157877525,0.0050526967355795,0.00265465774130832,0.00247744679467145,0.00231033172218211,0.00252192798085539,0.00253756245742238
E1_Female_4,0.00537680636437646,0.00581685212687189,0.00531491191452187,0.00791692585853293,0.00645055199403503,0.00505307762574431,0.00544419279094924,0.00566815279552174,0,0.00597222725336809,0.00528985135444347,0.00482320764761314,0.00475818450858898,0.00463889547182728,0.00883075530287613,0.00547561975337821,0.00533982421250299,0.00610920856399296,0.00515589706273673,0.00574853332783858,0.00526503581519569,0.00548649219219592,0.00604798941602587,0.00523861993752926,0.006275269012151,0.00574586914550131,0.00516326698317594,0.00575761734155827,0.00499460674712448,0.00603242385872707,0.00565028598162346,0.00526013209680955,0.00560330714329556,0.00518148952546777,0.00561457424109286,0.00518315298349202,0.00490260841687558,0.005795026216056,0.00700799726606409,0.00618690985291758,0.00553264844192759,0.00565201051021813,0.00508536744194839,0.00816002336404864,0.00536106912724702,0.0052581862138581,0.00543485010611347,0.00583746233478758,0.00748428376244985,0.00621974442185289,0.00662462659364427,0.00608960386672023,0.00637195417769362,0.0064040183809763
E1_Female_5,0.00258165645250758,0.00244974651559416,0.00268426829696168,0.00536088227842127,0.00522201088737868,0.00247493149468255,0.00223752636489382,0.00273324660857304,0.00597222725336809,0,0.00299730356543035,0.00349966546853688,0.0020542218067202,0.0024597975088179,0.00563079479712749,0.0027527780281624,0.00281120857540148,0.00311784699951878,0.00231444699360832,0.00283917466027667,0.00290829454373302,0.00321534039012747,0.00276136026391554,0.00278326220473443,0.00330068700330086,0.00263581550835559,0.00258980896800842,0.00259053675369039,0.00223111624193231,0.00384020958680771,0.00265075069285315,0.00243941367753903,0.00258195341401951,0.00252038052164023,0.0028446946663001,0.00304248879403078,0.00283967605448475,0.00222015181641834,0.00573679243569166,0.00415895039341092,0.00273546519233914,0.00321669013655037,0.00282946987522237,0.00636823069774545,0.00274072258970803,0.0026709115204416,0.00260125050675718,0.00284392421632521,0.00557631641009004,0.00318558317211673,0.00318854903744458,0.00312613394571391,0.00315613616785561,0.00355193208598293
