cl1,cl2,Rsq,snpCt,pctConc,,,
c3.3R.45,c12.3R.34,0.128268916,17,0,TRUE,TRUE,TRUE
c10.3L.34,c6.3L.23,0.079610284,3,0,TRUE,TRUE,TRUE
c4.X.45,c1.X.12,0.077599948,0,NA,TRUE,TRUE,TRUE
c5.3L.45,c8.3L.34,0.06373468,6,0,TRUE,TRUE,TRUE
c6.3R.45,c19.3R.34,0.059563693,22,0,TRUE,TRUE,TRUE
c9.3R.45,c20.3R.34,0.057757517,69,0,TRUE,TRUE,TRUE
c3.3R.34,c1.3R.45,0.051480797,21,0,TRUE,TRUE,TRUE
c1.3R.34,c1.3R.23,0.050492719,7,0,TRUE,TRUE,TRUE
c8.3L.45,c5.3L.23,0.043200494,4,1,TRUE,TRUE,TRUE
c6.3L.34,c4.3L.45,0.041599933,17,0.058823529,TRUE,TRUE,TRUE
c20.3R.34,c10.3R.45,0.040787228,21,0,TRUE,TRUE,TRUE
c20.3R.34,c11.3R.45,0.040341006,7,0,TRUE,TRUE,TRUE
c8.3L.45,c10.3L.34,0.0364392,15,0,TRUE,TRUE,TRUE
c5.3R.34,c2.3R.45,0.033659356,9,0,TRUE,TRUE,TRUE
c3.3L.45,c6.3L.34,0.033594158,53,0,TRUE,TRUE,TRUE
c9.3L.34,c8.3L.45,0.032171924,74,0,TRUE,TRUE,TRUE
c4.2R.45,c4.2R.34,0.030470644,9,0,TRUE,TRUE,TRUE
c1.3R.23,c2.3R.34,0.028380133,0,NA,TRUE,TRUE,TRUE
c3.2R.34,c3.2R.45,0.028014627,2,0,TRUE,TRUE,TRUE
c3.3L.45,c5.3L.34,0.027874131,10,0,TRUE,TRUE,TRUE
c8.3L.45,c6.3L.23,0.026154325,0,NA,TRUE,TRUE,TRUE
c3.3L.45,c4.3L.34,0.025165144,0,NA,TRUE,TRUE,TRUE
c9.3L.34,c5.3L.23,0.023927159,7,0,TRUE,TRUE,TRUE
c4.3L.23,c5.3L.45,0.023827061,1,1,TRUE,TRUE,TRUE
c3.3L.45,c3.3L.23,0.022622894,0,NA,TRUE,TRUE,TRUE
c3.3R.45,c11.3R.34,0.021700311,2,0,TRUE,TRUE,TRUE
c9.3L.34,c6.3L.45,0.02148559,0,NA,TRUE,TRUE,TRUE
c3.2R.34,c4.2R.45,0.020360564,16,0,TRUE,TRUE,TRUE
c4.3R.45,c14.3R.34,0.019949063,0,NA,TRUE,TRUE,TRUE
c1.X.34,c1.X.45,0.019605677,6,0,TRUE,TRUE,TRUE
c5.3R.45,c18.3R.34,0.019268026,0,NA,TRUE,TRUE,TRUE
c17.3R.34,c2.3R.23,0.01909311,0,NA,TRUE,TRUE,TRUE
c3.2R.34,c2.2R.45,0.01809643,0,NA,TRUE,TRUE,TRUE
c9.3R.45,c3.3R.12,0.018049112,1,0,TRUE,TRUE,TRUE
c17.3R.34,c5.3R.45,0.017884951,5,0,TRUE,TRUE,TRUE
c5.2L.45,c1.2L.34,0.017515686,5,0,TRUE,TRUE,TRUE
c3.3L.45,c2.3L.23,0.016371471,0,NA,TRUE,TRUE,TRUE
c5.2L.45,c1.2L.23,0.015211841,0,NA,TRUE,TRUE,TRUE
c6.3R.45,c1.3R.12,0.014747746,0,NA,TRUE,TRUE,TRUE
c1.X.34,c2.X.45,0.01446153,1,0,TRUE,TRUE,TRUE
c1.X.34,c3.X.45,0.014064007,2,0,TRUE,TRUE,TRUE
c6.3L.34,c3.3L.23,0.013964381,0,NA,TRUE,TRUE,TRUE
c1.2L.34,c1.2L.23,0.013702599,0,NA,TRUE,TRUE,TRUE
c9.3L.34,c7.3L.45,0.012374968,0,NA,TRUE,TRUE,TRUE
c9.3R.45,c2.3R.12,0.009108893,0,NA,TRUE,TRUE,TRUE
c7.3L.34,c4.3L.23,0.008577755,0,NA,TRUE,TRUE,TRUE
c15.3L.15,c1.3L.12,0.668637751,19,1,FALSE,TRUE,FALSE
c5.3L.15,c3.3L.23,0.645307796,10,1,FALSE,TRUE,FALSE
c1.3R.12,c15.3R.15,0.62186605,5,1,TRUE,FALSE,FALSE
c2.3L.23,c4.3L.15,0.587574731,99,1,TRUE,FALSE,FALSE
c3.2L.15,c1.2L.12,0.339692904,46,1,FALSE,TRUE,FALSE
c13.3L.15,c6.3L.23,0.233834794,0,NA,FALSE,TRUE,FALSE
