sampID,tpt,cage,treatment,year,set,type,sampNum,RDds,trialNum,RDfrac
E10_Female_1,1,10,E,2014,cages,HAFs,NA,NA,NA,NA
E10_Female_2,2,10,E,2014,cages,HAFs,NA,NA,NA,NA
E10_Female_3,3,10,E,2014,cages,HAFs,NA,NA,NA,NA
E10_Female_4,4,10,E,2014,cages,HAFs,NA,NA,NA,NA
E10_Female_5,5,10,E,2014,cages,HAFs,NA,NA,NA,NA
E1_Female_1,1,1,E,2014,cages,HAFs,NA,NA,NA,NA
E1_Female_2,2,1,E,2014,cages,HAFs,NA,NA,NA,NA
E1_Female_3,3,1,E,2014,cages,HAFs,NA,NA,NA,NA
E1_Female_4,4,1,E,2014,cages,HAFs,NA,NA,NA,NA
E1_Female_5,5,1,E,2014,cages,HAFs,NA,NA,NA,NA
E2_Female_1,1,2,E,2014,cages,HAFs,NA,NA,NA,NA
E2_Female_2,2,2,E,2014,cages,HAFs,NA,NA,NA,NA
E2_Female_3,3,2,E,2014,cages,HAFs,NA,NA,NA,NA
E2_Female_4,4,2,E,2014,cages,HAFs,NA,NA,NA,NA
E2_Female_5,5,2,E,2014,cages,HAFs,NA,NA,NA,NA
E3_Female_1,1,3,E,2014,cages,HAFs,NA,NA,NA,NA
E3_Female_2,2,3,E,2014,cages,HAFs,NA,NA,NA,NA
E3_Female_3,3,3,E,2014,cages,HAFs,NA,NA,NA,NA
E3_Female_4,4,3,E,2014,cages,HAFs,NA,NA,NA,NA
E3_Female_5,5,3,E,2014,cages,HAFs,NA,NA,NA,NA
E4_Female_1,1,4,E,2014,cages,HAFs,NA,NA,NA,NA
E4_Female_2,2,4,E,2014,cages,HAFs,NA,NA,NA,NA
E4_Female_3,3,4,E,2014,cages,HAFs,NA,NA,NA,NA
E4_Female_4,4,4,E,2014,cages,HAFs,NA,NA,NA,NA
E4_Female_5,5,4,E,2014,cages,HAFs,NA,NA,NA,NA
E5_Female_1,1,5,E,2014,cages,HAFs,NA,NA,NA,NA
E5_Female_2,2,5,E,2014,cages,HAFs,NA,NA,NA,NA
E5_Female_3,3,5,E,2014,cages,HAFs,NA,NA,NA,NA
E5_Female_4,4,5,E,2014,cages,HAFs,NA,NA,NA,NA
E5_Female_5,5,5,E,2014,cages,HAFs,NA,NA,NA,NA
E6_Female_1,1,6,E,2014,cages,HAFs,NA,NA,NA,NA
E6_Female_2,2,6,E,2014,cages,HAFs,NA,NA,NA,NA
E6_Female_3,3,6,E,2014,cages,HAFs,NA,NA,NA,NA
E6_Female_4,4,6,E,2014,cages,HAFs,NA,NA,NA,NA
E6_Female_5,5,6,E,2014,cages,HAFs,NA,NA,NA,NA
E7_Female_1,1,7,E,2014,cages,HAFs,NA,NA,NA,NA
E7_Female_2,2,7,E,2014,cages,HAFs,NA,NA,NA,NA
E7_Female_3,3,7,E,2014,cages,HAFs,NA,NA,NA,NA
E7_Female_4,4,7,E,2014,cages,HAFs,NA,NA,NA,NA
E7_Female_5,5,7,E,2014,cages,HAFs,NA,NA,NA,NA
E8_Female_1,1,8,E,2014,cages,HAFs,NA,NA,NA,NA
E8_Female_2,2,8,E,2014,cages,HAFs,NA,NA,NA,NA
E8_Female_3,3,8,E,2014,cages,HAFs,NA,NA,NA,NA
E8_Female_4,4,8,E,2014,cages,HAFs,NA,NA,NA,NA
E8_Female_5,5,8,E,2014,cages,HAFs,NA,NA,NA,NA
E9_Female_1,1,9,E,2014,cages,HAFs,NA,NA,NA,NA
E9_Female_2,2,9,E,2014,cages,HAFs,NA,NA,NA,NA
E9_Female_3,3,9,E,2014,cages,HAFs,NA,NA,NA,NA
E9_Female_4,4,9,E,2014,cages,HAFs,NA,NA,NA,NA
E9_Female_5,5,9,E,2014,cages,HAFs,NA,NA,NA,NA
Female-2014_S5_.dedup.ss1.08384,NA,NA,NA,2014,baseline,ds5xHAFs,S5,5,1,0.08384
Female-2014_S6_.dedup.ss1.08776,NA,NA,NA,2014,baseline,ds5xHAFs,S6,5,1,0.08776
Female-2014_S7_.dedup.ss1.1992,NA,NA,NA,2014,baseline,ds5xHAFs,S7,5,1,0.1992
Female-2014_S8_.dedup.ss1.1019,NA,NA,NA,2014,baseline,ds5xHAFs,S8,5,1,0.1019
