timeseg,chrom,region,ID,Name,fullname,EntrezGene
Timepoint 1 --> 2,2L,2L:18160421-18275770,FBgn0261804,CG42750,,35094
Timepoint 1 --> 2,2L,2L:18308088-18308684,FBgn0263085,CG43353,,NA
Timepoint 1 --> 2,2L,2L:18320101-18393441,FBgn0000636,Fas3,Fasciclin 3,35097
Timepoint 1 --> 2,2L,2L:18378626-18379909,FBgn0085200,CG34171,,5740474
Timepoint 1 --> 2,2L,2L:7334801-7352542,FBgn0031902,Wnt6,Wnt6,34010
Timepoint 1 --> 2,2L,2L:7364820-7377528,FBgn0031903,Wnt10,Wnt10,34011
Timepoint 1 --> 2,2L,2L:7390984-7398403,FBgn0031906,CG5160,,34015
Timepoint 1 --> 2,2L,2L:7395832-7404526,FBgn0031907,CG5171,,34016
Timepoint 1 --> 2,2L,2L:7437506-7445269,FBgn0031914,CG5973,,34023
Timepoint 1 --> 2,2L,2L:7472505-7495618,FBgn0260486,CG42533,,34030
Timepoint 1 --> 2,2L,2L:7497805-7576604,FBgn0085403,Rapgap1,Rapgap1,34032
Timepoint 1 --> 2,2L,2L:7647053-7675078,FBgn0024290,Slob,Slowpoke binding protein,34039
Timepoint 1 --> 2,2L,2L:7666047-7689459,FBgn0040299,Myo28B1,Myo28B1,53515
Timepoint 1 --> 2,2L,2L:7702807-7710697,FBgn0041181,TepIII,Thiolester containing protein III,34045
Timepoint 1 --> 2,2L,2L:7754191-7765716,FBgn0031944,CG7196,,34057
Timepoint 1 --> 2,2L,2L:7767649-7775033,FBgn0031945,CG7191,,34058
Timepoint 1 --> 2,2L,2L:7775804-7778027,FBgn0020880,CG7179,,34059
Timepoint 1 --> 2,2L,2L:7782857-7786063,FBgn0031947,CG7154,,34062
Timepoint 1 --> 2,2L,2L:7786157-7790557,FBgn0031948,CG7149,,34063
Timepoint 1 --> 2,2L,2L:7791406-7795958,FBgn0025687,LKR,lysine ketoglutarate reductase,34064
Timepoint 1 --> 2,2L,2L:7796308-7799846,FBgn0031950,Herp,Homocysteine-induced endoplasmic reticulum protein,34065
Timepoint 1 --> 2,2L,2L:7892325-7984158,FBgn0085450,Snoo,Sno oncogene,5740414
Timepoint 1 --> 2,2L,2L:7999670-8004313,FBgn0031972,Wwox,WW domain containing oxidoreductase,34090
Timepoint 1 --> 2,2L,2L:7998934-7999743,FBgn0031971,CG7224,,34089
